[2026-05-05 08:52:59:916] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：109; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:53:29:805] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：109; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:54:00:935] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:54:18:207] LuaNPC:玩家名字 ID:999999999 执行 killmon player:玩家名字 耗时：31; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:54:30:313] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:55:01:603] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:55:41:295] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:56:16:151] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:56:55:176] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:57:25:718] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:57:55:915] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:58:25:342] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:58:56:357] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:59:27:434] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：110; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:59:57:407] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：93; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 09:00:30:751] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

