[2025-10-25 11:41:35:078] [11:41:34] 正在启动游戏客户端控制器...
[2025-10-25 11:41:35:079] [11:41:34] 游戏控制台启动完成...

[2025-10-25 11:41:41:971] [11:41:41] 正在启动数据库服务器...
[2025-10-25 11:41:43:828] [11:41:43] 数据库服务器启动完成...

[2025-10-25 11:41:44:816] [11:41:44] 正在启动游戏主程序...

[2025-10-25 11:41:54:260] [11:41:53] 游戏主程序启动完成...
[2025-10-25 11:41:54:383] [11:41:54] 正在启动游戏网关[7001]...
[2025-10-25 11:41:54:386] [11:41:54] 游戏网关启动完成[7001]...
[2025-10-25 11:41:54:768] [11:41:54] 正在启动登录网关[7000]...

[2025-10-25 21:32:42:585] [21:32:42] RunGate(332042, 7001) Connect Fail

[2025-10-25 21:32:44:335] [21:32:44] 正在开始停止服务器...
[2025-10-25 21:32:44:670] [21:32:44] RunGate(332042, 7001) Connect Fail
[2025-10-25 21:32:45:384] [21:32:45] 登录网关已停止...
[2025-10-25 21:32:45:386] [21:32:45] 游戏网关一已停止...

[2025-10-25 21:32:56:590] [21:32:56] 游戏数据库服务器已停止...

[2025-10-25 21:38:25:802] [21:38:25] 正在启动数据库服务器...

[2025-10-25 21:38:45:177] [21:38:45] 数据库服务器启动完成...
[2025-10-25 21:38:45:395] [21:38:45] 正在启动游戏主程序...

[2025-10-25 21:38:56:003] [21:38:55] 游戏主程序启动完成...
[2025-10-25 21:38:56:332] [21:38:56] 正在启动游戏网关[7001]...
[2025-10-25 21:38:56:345] [21:38:56] 游戏网关启动完成[7001]...
[2025-10-25 21:38:56:657] [21:38:56] 正在启动登录网关[7000]...

[2025-10-25 22:06:58:965] [22:06:58] 游戏引擎服务器心跳中断，已被重新启动...

[2025-10-25 22:06:59:291] [22:06:59] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:07:00:944] [22:07:00] 游戏引擎服务器异常关闭，已被重新启动...
[2025-10-25 22:07:01:149] [22:07:01] 正在启动游戏主程序...
[2025-10-25 22:07:01:260] [22:07:01] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:07:03:340] [22:07:03] RunGate(466374, 7001) Connect Fail

[2025-10-25 22:07:05:297] [22:07:05] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:07:07:273] [22:07:07] RunGate(466374, 7001) Connect Fail

[2025-10-25 22:07:09:361] [22:07:09] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:07:11:332] [22:07:11] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:07:13:410] [22:07:13] RunGate(466374, 7001) Connect Fail

[2025-10-25 22:07:15:389] [22:07:15] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:07:17:456] [22:07:17] RunGate(466374, 7001) Connect Fail

[2025-10-25 22:07:19:425] [22:07:19] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:07:21:398] [22:07:21] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:07:23:474] [22:07:23] RunGate(466374, 7001) Connect Fail

[2025-10-25 22:07:25:443] [22:07:25] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:07:27:526] [22:07:27] RunGate(466374, 7001) Connect Fail

[2025-10-25 22:07:29:493] [22:07:29] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:07:31:459] [22:07:31] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:07:33:535] [22:07:33] RunGate(466374, 7001) Connect Fail

[2025-10-25 22:07:35:511] [22:07:35] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:07:37:585] [22:07:37] RunGate(466374, 7001) Connect Fail

[2025-10-25 22:07:39:555] [22:07:39] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:07:41:636] [22:07:41] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:07:43:611] [22:07:43] RunGate(466374, 7001) Connect Fail

[2025-10-25 22:07:45:567] [22:07:45] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:07:47:651] [22:07:47] RunGate(466374, 7001) Connect Fail

[2025-10-25 22:07:49:611] [22:07:49] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:07:51:691] [22:07:51] RunGate(466374, 7001) Connect Fail
